islem_id,zaman_damgasi,kullanici_id,tutar,alici_adi,kategori,sehir,ulke,cihaz_id,ip_adresi,hesap_yasi_gun,is_fraud,islem_kanali,kullanici_ortalama_harcama,dolandiricilik_mi
8c611654-95da,2026-04-19 05:53:22,USR-0273,78.53,BiTaksi,Ulaşım,Bursa,Türkiye,e87466d7,188.48.94.104,1562,1,Hızlı QR,269.86,1
816bcb9f-7426,2026-05-04 21:29:05,USR-0442,111.23,BP,Yakıt,Bursa,Türkiye,771ad655,134.88.240.155,1820,0,API,61.26,0
e0b15aba-a6a2,2026-04-11 10:46:29,USR-0011,183.95,Opet,Yakıt,İstanbul,Türkiye,6c307511,182.225.120.12,579,0,API,240.18,0
69efafb1-3a7e,2026-04-26 18:32:26,USR-0055,83.02,Getir Yemek,Gıda,Adana,Türkiye,b8db0672,61.6.32.66,1318,0,API,184.3,0
50032b35-1857,2026-04-25 06:01:37,USR-0174,381.53,Yemeksepeti,Gıda,İzmir,Türkiye,59e4b671,48.80.29.75,678,0,Web Sitesi,350.1,0
ec48bf55-afd3,2026-04-24 01:33:54,USR-0100,282.48,BIM,Market,Adana,Türkiye,03c72ba8,18.235.80.61,327,0,Hızlı QR,373.28,0
be9d61ee-18b8,2026-04-10 00:55:46,USR-0121,20.24,Spotify,Eğlence,İzmir,Türkiye,90b2b633,180.41.231.226,1717,0,Hızlı QR,120.99,0
8fc42092-f4e5,2026-05-02 21:41:30,USR-0336,408.07,Spotify,Eğlence,İstanbul,Türkiye,96a9954f,2.125.42.50,846,0,API,261.5,0
f0ede303-aa53,2026-04-25 20:05:58,USR-0349,444.88,MediaMarkt,Teknoloji,Ankara,Türkiye,32a447b2,177.165.114.61,907,0,Hızlı QR,467.45,0
1a85910d-5a05,2026-04-19 20:35:07,USR-0156,236.06,BIM,Market,Ankara,Türkiye,ae9bec36,141.157.131.57,580,0,Mobil Uygulama,229.31,0
d8e7012f-3968,2026-04-13 09:44:47,USR-0020,71.85,Steam,Eğlence,İstanbul,Türkiye,3139d32c,87.134.30.201,476,0,Hızlı QR,70.62,0
39e58ff0-92f8,2026-04-11 11:19:25,USR-0315,382.38,Teknosa,Teknoloji,Adana,Türkiye,96ef2ad6,160.107.137.35,155,0,API,436.82,0
b18753e6-d457,2026-05-05 11:00:11,USR-0231,208.4,CarrefourSA,Market,Bursa,Türkiye,45f50c52,147.198.103.176,941,0,Hızlı QR,197.31,0
deaf528d-2e70,2026-04-22 09:23:49,USR-0231,82.21,Steam,Eğlence,Bursa,Türkiye,3c07c574,89.166.115.102,941,0,Mobil Uygulama,197.31,0
f8c88fae-a217,2026-04-09 06:32:44,USR-0225,413.45,Trendyol,Alışveriş,Bursa,Türkiye,722764e6,77.196.188.180,1731,0,Hızlı QR,375.88,0
284bf962-5744,2026-04-24 03:46:15,USR-0174,290.04,Uber,Ulaşım,İzmir,Türkiye,59e4b671,52.194.176.113,678,1,Hızlı QR,350.1,1
0d77c5a0-e222,2026-05-03 10:46:01,USR-0337,165.31,Samsung,Teknoloji,İzmir,Türkiye,9191b363,104.203.211.192,224,0,Hızlı QR,194.48,0
6c8c3b6a-a974,2026-04-09 20:31:19,USR-0159,431.35,Turkish Airlines,Ulaşım,İzmir,Türkiye,bfddc3d9,30.37.57.216,1108,0,Web Sitesi,491.52,0
832920b7-c143,2026-04-26 00:01:54,USR-0330,663.08,BIM,Market,Antalya,Türkiye,cfa701cd,91.131.180.122,1576,0,Web Sitesi,477.85,0
97d7a560-adb1,2026-04-11 06:40:07,USR-0351,322.64,Apple,Teknoloji,Adana,Türkiye,44007d5a,25.222.146.88,500,0,API,323.99,0
996d5c50-fc04,2026-04-08 02:23:16,USR-0487,190.99,Yemeksepeti,Gıda,Ankara,Türkiye,b379cb1e,77.21.68.189,675,1,Mobil Uygulama,296.76,1
2321d1e1-c471,2026-04-20 12:39:06,USR-0339,261.95,Opet,Yakıt,Bursa,Türkiye,c342bd2b,185.67.38.160,1945,0,API,179.7,0
bf3c5140-7f54,2026-04-21 19:45:46,USR-0320,4914.4,CarrefourSA,Market,İzmir,Türkiye,61554667,11.174.136.146,156,0,API,421.98,0
ce6322b6-ab05,2026-04-30 04:19:14,USR-0313,139.38,BP,Yakıt,Antalya,Türkiye,b0ae8f08,57.105.157.48,76,0,Web Sitesi,261.46,0
ebd14d2c-75b2,2026-04-07 22:45:30,USR-0428,465.29,Yemeksepeti,Gıda,Antalya,Türkiye,3a3c8a71,84.9.47.113,759,0,API,444.41,0
b5a1b949-6788,2026-05-03 20:16:50,USR-0271,141.4,Trendyol,Alışveriş,Antalya,Türkiye,4fa03f26,146.135.106.204,1951,0,Web Sitesi,54.57,0
532401fc-f758,2026-04-11 11:39:34,USR-0329,293.36,Hepsiburada,Alışveriş,Adana,Türkiye,afbb411a,111.92.142.144,1188,0,Mobil Uygulama,426.18,0
1b19d8b8-d830,2026-04-23 11:03:42,USR-0043,457.18,CarrefourSA,Market,İstanbul,Türkiye,ff50bde4,118.104.62.16,323,0,Hızlı QR,437.5,0
4f6e274b-deda,2026-05-01 07:56:00,USR-0047,236.98,Getir Yemek,Gıda,Antalya,Türkiye,98ae4334,183.23.30.73,1143,0,Hızlı QR,163.14,0
82af085c-138d,2026-04-22 01:31:33,USR-0192,239.93,Getir Yemek,Gıda,Adana,Türkiye,5380b904,140.104.235.19,828,0,Mobil Uygulama,222.79,0
d1a69d87-f54e,2026-04-22 20:31:28,USR-0430,154.07,Martı,Ulaşım,Ankara,Türkiye,b4323070,137.115.192.16,1698,0,Web Sitesi,165.64,0
328067a1-4187,2026-04-17 08:44:45,USR-0357,151.23,CarrefourSA,Market,Adana,Türkiye,8a3c3b5e,106.114.39.150,1454,0,API,181.34,0
a0c14035-c5d9,2026-04-09 13:15:56,USR-0132,78.01,Burger King,Gıda,İzmir,Türkiye,702cdd20,30.93.110.142,693,0,API,69.84,0
9fe0a8c7-fc8d,2026-05-03 07:09:12,USR-0025,279.59,Getir Yemek,Gıda,Ankara,Türkiye,29a3b2e9,52.59.158.164,1447,0,API,351.58,0
71348c2a-780b,2026-04-13 05:21:03,USR-0275,224.81,Spotify,Eğlence,Adana,Türkiye,9793b9b4,145.148.64.217,1633,1,Mobil Uygulama,270.87,1
12fe28bf-81e0,2026-05-04 14:31:36,USR-0269,308.86,Shell,Yakıt,İzmir,Türkiye,f6b751f7,60.236.40.36,1812,0,Mobil Uygulama,203.15,0
497de16d-d4ea,2026-04-07 17:17:18,USR-0192,257.15,Shell,Yakıt,Adana,Türkiye,5380b904,69.199.106.254,828,0,Hızlı QR,222.79,0
7674456f-626d,2026-05-05 18:00:34,USR-0322,6368.11,Steam,Eğlence,Antalya,Türkiye,a34b6cf6,130.160.29.187,1175,1,Web Sitesi,387.03,1
a6ded1d8-9258,2026-04-27 17:27:01,USR-0238,108.19,Turkish Airlines,Ulaşım,Adana,Türkiye,c51155ff,99.206.22.151,73,0,Web Sitesi,68.12,0
73557b9d-0fd6,2026-04-30 05:36:28,USR-0235,3595.76,Steam,Eğlence,Bursa,Türkiye,6a34c854,85.250.226.108,1114,0,Web Sitesi,58.72,0
0a0537f0-2c2c,2026-04-09 23:43:24,USR-0418,7175.2,Teknosa,Teknoloji,Antalya,Türkiye,def57689,119.1.14.209,458,1,Web Sitesi,410.87,1
28a39779-9c1c,2026-04-27 05:26:10,USR-0140,221.12,Steam,Eğlence,İstanbul,Türkiye,35ebd32d,50.26.237.175,1851,0,API,188.72,0
adcc3daf-569f,2026-04-24 16:50:44,USR-0499,385.79,Getir Yemek,Gıda,İstanbul,Türkiye,71d79665,149.106.229.27,200,0,API,424.3,0
adaa44ca-8ed6,2026-04-09 02:15:56,USR-0043,369.8,Turkish Airlines,Ulaşım,Ankara,Türkiye,ff50bde4,48.32.178.238,323,1,Web Sitesi,437.5,1
14dd5061-5557,2026-05-05 03:40:12,USR-0157,546.27,N11,Alışveriş,İstanbul,Türkiye,5a8aaeca,137.13.41.158,581,1,Web Sitesi,485.1,1
b2cf952d-a7f3,2026-04-22 21:02:36,USR-0223,371.64,Shell,Yakıt,Bursa,Türkiye,d0a44432,136.64.190.114,806,0,Mobil Uygulama,268.54,0
4f40c22f-15b0,2026-05-04 18:44:45,USR-0384,435.55,BiTaksi,Ulaşım,Bursa,Türkiye,7c16128d,3.80.92.40,1754,0,Mobil Uygulama,342.43,0
f275b5f3-d436,2026-04-12 02:21:47,USR-0018,244.41,Starbucks,Gıda,Adana,Türkiye,4b0dbb41,178.253.145.19,1774,1,Web Sitesi,328.33,1
5cd33369-04aa,2026-04-26 10:46:37,USR-0348,110.68,Hepsiburada,Alışveriş,İstanbul,Türkiye,96fc734d,45.181.85.37,1134,0,Hızlı QR,141.6,0
31274148-7c7c,2026-04-22 11:37:11,USR-0188,149.44,Hepsiburada,Alışveriş,Ankara,Türkiye,f2e9702d,114.51.119.187,104,0,Hızlı QR,116.31,0
c9c23e69-d82c,2026-04-13 09:59:49,USR-0256,517.6,Teknosa,Teknoloji,Bursa,Türkiye,56666f9f,66.106.116.112,226,0,Mobil Uygulama,420.05,0
218c6e1c-9e37,2026-04-22 05:49:54,USR-0314,131.73,BP,Yakıt,Ankara,Türkiye,bd1531c8,137.223.70.250,589,1,Web Sitesi,179.65,1
c566aa81-b15e,2026-04-13 18:30:16,USR-0045,299.82,BIM,Market,Bursa,Türkiye,dc713d96,138.152.49.148,798,0,Hızlı QR,318.38,0
ad261ec5-5d42,2026-04-27 03:23:57,USR-0154,96.71,CarrefourSA,Market,Bursa,Türkiye,eededb07,190.54.224.53,1690,1,Web Sitesi,207.35,1
c8a723e9-bfa0,2026-05-05 12:52:04,USR-0014,91.92,Petrol Ofisi,Yakıt,İstanbul,Türkiye,5be6128e,23.167.68.176,714,0,API,211.54,0
78116802-c8cc,2026-04-20 22:01:44,USR-0045,399.64,Steam,Eğlence,Bursa,Türkiye,dc713d96,214.53.97.106,798,0,API,318.38,0
fc043f08-9207,2026-04-23 18:02:18,USR-0394,206.32,Amazon,Alışveriş,İstanbul,Türkiye,74eff545,25.4.70.36,1640,0,Web Sitesi,70.7,0
f75d599f-6b2d,2026-04-24 10:23:11,USR-0349,460.25,MediaMarkt,Teknoloji,Ankara,Türkiye,32a447b2,107.49.246.63,907,0,Web Sitesi,467.45,0
0d5ba7cd-4000,2026-05-05 05:57:24,USR-0094,225.19,CarrefourSA,Market,Ankara,Türkiye,310c0c00,151.193.240.105,1004,0,API,124.84,0
d88c656d-b61e,2026-05-02 19:33:34,USR-0156,265.47,Burger King,Gıda,Ankara,Türkiye,ae9bec36,9.254.174.30,580,0,Hızlı QR,229.31,0
45d5a68d-290a,2026-04-19 17:35:42,USR-0266,286.17,Shell,Yakıt,İzmir,Türkiye,1d48a071,20.183.20.133,698,0,Hızlı QR,350.68,0
38d77b9a-e916,2026-04-27 03:09:54,USR-0156,265.45,Apple,Teknoloji,Ankara,Türkiye,ae9bec36,165.151.230.132,580,1,Web Sitesi,229.31,1
808389c8-657e,2026-04-07 04:32:44,USR-0173,608.82,Migros,Market,Antalya,Türkiye,11c58ef0,56.182.242.20,1048,1,Mobil Uygulama,455.02,1
519554e3-0737,2026-04-09 20:33:00,USR-0317,311.82,Uber,Ulaşım,Adana,Türkiye,d52721e7,206.174.172.181,1656,0,API,315.41,0
eada79a3-4970,2026-04-12 23:37:57,USR-0155,306.78,Trendyol,Alışveriş,Ankara,Türkiye,0a368ce7,173.28.63.87,1361,0,API,150.32,0
e7e646c7-0158,2026-04-28 16:01:32,USR-0226,201.82,N11,Alışveriş,Bursa,Türkiye,dc8aee30,80.97.14.192,1284,0,API,463.79,0
f0b2a5d1-8c7e,2026-04-16 08:43:43,USR-0368,350.14,Petrol Ofisi,Yakıt,Antalya,Türkiye,d0725b5c,189.139.77.146,690,0,API,267.95,0
4d183eba-3cd5,2026-04-11 07:00:53,USR-0164,255.08,Getir Yemek,Gıda,İzmir,Türkiye,696608aa,79.66.151.195,1057,0,Mobil Uygulama,246.38,0
750565f5-9f70,2026-04-26 06:36:17,USR-0149,381.11,N11,Alışveriş,İzmir,Türkiye,1ca3c448,95.253.51.177,1779,0,Web Sitesi,411.01,0
83efa9f3-a1c7,2026-05-04 20:43:26,USR-0370,478.96,Opet,Yakıt,Bursa,Türkiye,5230dfbd,137.48.92.238,1790,0,Web Sitesi,469.78,0
5a5226e6-9d64,2026-04-20 00:49:45,USR-0158,139.91,Amazon,Alışveriş,İzmir,Türkiye,2ff3cde4,133.122.178.243,828,0,Mobil Uygulama,338.67,0
f4124360-1153,2026-05-01 07:22:35,USR-0111,290.69,MediaMarkt,Teknoloji,Adana,Türkiye,bc594585,8.83.74.16,1080,0,Mobil Uygulama,312.65,0
a2bb522b-0b25,2026-04-24 20:23:03,USR-0335,371.36,Turkish Airlines,Ulaşım,Bursa,Türkiye,e893be3d,55.228.47.181,1017,0,Hızlı QR,335.65,0
c9dc72b8-5b6a,2026-04-18 04:59:48,USR-0452,531.81,Petrol Ofisi,Yakıt,Antalya,Türkiye,6553867d,79.110.155.106,326,1,API,384.02,1
c1b5b5ca-bc35,2026-04-10 22:14:59,USR-0038,109.16,N11,Alışveriş,Ankara,Türkiye,e27a984d,34.214.101.88,1159,0,Hızlı QR,160.98,0
a48e40f1-d042,2026-04-22 23:55:51,USR-0066,88.43,PlayStation Store,Eğlence,Ankara,Türkiye,3da9c2a9,111.111.24.106,1796,0,Hızlı QR,169.28,0
2285b2ef-cfbe,2026-04-29 03:00:07,USR-0387,323.25,Burger King,Gıda,Adana,Türkiye,03802b70,93.74.159.73,1565,1,API,373.42,1
ca862225-0b36,2026-04-07 16:33:43,USR-0234,255.06,Burger King,Gıda,Bursa,Türkiye,271e3ee2,102.42.233.100,177,0,Hızlı QR,163.52,0
65f202f9-83f0,2026-04-21 05:10:06,USR-0316,187.92,Martı,Ulaşım,Adana,Türkiye,98c7472a,197.228.194.232,551,1,Hızlı QR,155.04,1
30ec2796-a59b,2026-04-18 04:36:16,USR-0009,262.19,Petrol Ofisi,Yakıt,Bursa,Türkiye,47378190,35.15.56.161,1667,0,Mobil Uygulama,315.17,0
5e368127-cca1,2026-04-22 00:11:35,USR-0353,349.84,Uber,Ulaşım,İstanbul,Türkiye,be4969ec,28.95.100.218,200,0,API,298.51,0
b12b6680-7f07,2026-04-22 08:28:44,USR-0297,111.05,Samsung,Teknoloji,Bursa,Türkiye,4223623b,24.136.249.213,143,0,Mobil Uygulama,101.34,0
6e3c4532-1434,2026-04-09 21:43:19,USR-0318,338.18,A101,Market,Ankara,Türkiye,5c62b3a2,139.140.153.89,1125,0,Web Sitesi,241.31,0
147f6570-1a43,2026-05-02 08:59:47,USR-0359,89.47,Spotify,Eğlence,Bursa,Türkiye,bc0a6a5d,50.235.195.215,1138,0,Mobil Uygulama,159.68,0
6d15f16f-b7b8,2026-04-20 18:33:58,USR-0105,88.08,N11,Alışveriş,Antalya,Türkiye,63f2ae24,111.26.63.173,1977,0,Mobil Uygulama,120.84,0
debac186-ba10,2026-04-22 23:03:16,USR-0340,376.89,N11,Alışveriş,Bursa,Türkiye,43bfd931,221.235.8.88,1136,0,Hızlı QR,416.1,0
f2a9dc8a-ca9e,2026-04-19 05:21:10,USR-0280,151.32,Petrol Ofisi,Yakıt,Adana,Türkiye,8861fe18,89.255.89.49,730,1,API,297.67,1
adedda80-bff9,2026-04-23 12:45:39,USR-0153,179.71,BIM,Market,Bursa,Türkiye,0ab54bde,104.127.141.79,1682,0,Web Sitesi,150.1,0
c8040fb7-ad97,2026-04-12 19:49:22,USR-0287,344.66,BIM,Market,Antalya,Türkiye,a6846099,20.10.19.140,215,0,Hızlı QR,318.56,0
5dc7b3e6-a529,2026-04-09 03:48:19,USR-0203,242.54,BIM,Market,Antalya,Türkiye,a8aa7158,34.18.153.224,1867,0,Web Sitesi,242.03,0
f2e6195f-732e,2026-05-05 06:27:33,USR-0227,38.68,Martı,Ulaşım,Antalya,Türkiye,c074718e,60.105.128.83,816,0,API,62.13,0
5df06e8c-878a,2026-04-09 15:03:02,USR-0288,41.77,Martı,Ulaşım,Ankara,Türkiye,eb6c1016,49.214.13.158,749,0,Web Sitesi,183.31,0
bc55300b-06a2,2026-04-18 00:17:29,USR-0026,299.55,BiTaksi,Ulaşım,Adana,Türkiye,ab9099a4,99.24.140.214,1257,0,Web Sitesi,341.62,0
42a259a6-c664,2026-05-03 03:52:08,USR-0052,17.19,BiTaksi,Ulaşım,Ankara,Türkiye,c0398710,141.187.133.144,1488,1,Mobil Uygulama,51.46,1
ffa623d0-ea9e,2026-05-05 14:21:40,USR-0245,403.9,BiTaksi,Ulaşım,Ankara,Türkiye,e5d6f6e6,19.236.165.80,231,0,Hızlı QR,484.12,0
2c33350c-73b9,2026-04-12 11:36:28,USR-0046,302.02,BiTaksi,Ulaşım,Bursa,Türkiye,28f49481,222.62.89.209,968,0,Mobil Uygulama,318.15,0
d8741408-f7b2,2026-04-10 03:45:23,USR-0091,134.46,PlayStation Store,Eğlence,Antalya,Türkiye,a748dbcf,197.99.195.116,1345,0,API,94.06,0
e42e5037-4a55,2026-04-09 01:07:56,USR-0020,259.24,Steam,Eğlence,İstanbul,Türkiye,3139d32c,42.20.144.225,476,0,Mobil Uygulama,70.62,0
3967e60a-823d,2026-04-14 08:18:12,USR-0329,443.64,Teknosa,Teknoloji,Adana,Türkiye,afbb411a,76.220.220.195,1188,0,Web Sitesi,426.18,0
06ba8cd3-7e78,2026-04-12 15:16:33,USR-0058,489.08,Opet,Yakıt,Antalya,Türkiye,a013ac6e,55.156.61.151,1236,0,API,463.32,0
2138afe0-8d38,2026-04-28 14:02:24,USR-0173,447.58,BIM,Market,Adana,Türkiye,11c58ef0,133.132.141.242,1048,0,Web Sitesi,455.02,0
b788f5d1-ffe5,2026-04-09 02:04:29,USR-0424,126.86,Hepsiburada,Alışveriş,Bursa,Türkiye,a075e927,189.37.59.206,757,0,Mobil Uygulama,65.01,0
20156a72-12e1,2026-04-25 18:29:50,USR-0480,282.0,Starbucks,Gıda,Adana,Türkiye,bfbf397b,194.75.241.234,948,0,Hızlı QR,284.65,0
58321ee4-8471,2026-04-27 17:43:51,USR-0169,387.69,Shell,Yakıt,Adana,Türkiye,eb1fa9f2,75.165.72.181,413,0,Hızlı QR,381.67,0
de431e06-e924,2026-04-12 03:48:25,USR-0061,404.08,Hepsiburada,Alışveriş,İzmir,Türkiye,f4188f3f,71.242.65.126,503,0,Web Sitesi,157.75,0
2976aab2-2a26,2026-05-01 01:06:19,USR-0160,453.42,Uber,Ulaşım,İzmir,Türkiye,39b86bb2,50.45.216.245,246,0,Hızlı QR,472.66,0
f4d375c1-a293,2026-04-09 17:21:04,USR-0245,514.28,Getir Yemek,Gıda,Ankara,Türkiye,e5d6f6e6,5.0.89.72,231,0,Hızlı QR,484.12,0
80a8a23d-17ea,2026-04-20 14:17:20,USR-0276,88.4,CarrefourSA,Market,İstanbul,Türkiye,3e2b6091,137.222.81.161,463,0,Web Sitesi,91.87,0
e6e987ca-b87b,2026-04-14 04:56:09,USR-0270,248.66,Hepsiburada,Alışveriş,Antalya,Türkiye,c71d5e60,130.162.237.109,575,0,Mobil Uygulama,365.53,0
a4364fcd-f2d3,2026-04-07 06:31:49,USR-0104,427.16,Samsung,Teknoloji,İstanbul,Türkiye,2a25a888,184.120.15.168,1039,0,Web Sitesi,312.88,0
9e3c5a88-6aa5,2026-04-16 03:04:56,USR-0106,161.24,Turkish Airlines,Ulaşım,Antalya,Türkiye,c8fe3ccd,159.223.219.2,390,1,Mobil Uygulama,86.05,1
4d560a3d-f4e7,2026-05-02 09:06:59,USR-0289,265.12,PlayStation Store,Eğlence,Ankara,Türkiye,7701f7bb,28.254.181.192,1460,0,Hızlı QR,186.02,0
0f5675f8-b048,2026-04-20 08:00:30,USR-0382,7.27,Starbucks,Gıda,Ankara,Türkiye,445dcc38,110.166.98.252,1610,0,Mobil Uygulama,83.67,0
9b4e164b-5716,2026-04-29 09:39:58,USR-0031,569.56,PlayStation Store,Eğlence,İzmir,Türkiye,b02b61c4,84.111.174.3,1599,0,Mobil Uygulama,429.28,0
c2baf0e0-2179,2026-04-22 15:51:31,USR-0329,286.0,Turkish Airlines,Ulaşım,Adana,Türkiye,afbb411a,38.203.183.182,1188,0,Hızlı QR,426.18,0
44790612-1f5d,2026-04-21 09:16:11,USR-0465,201.03,N11,Alışveriş,Antalya,Türkiye,e8dd5e5a,20.130.17.211,1709,0,Mobil Uygulama,142.34,0
6257a4a2-f204,2026-04-10 14:15:59,USR-0335,554.7,BIM,Market,Bursa,Türkiye,e893be3d,221.97.92.28,1017,0,Mobil Uygulama,335.65,0
28e213bc-e6fd,2026-04-17 22:43:43,USR-0373,29.41,Starbucks,Gıda,Bursa,Türkiye,668409e3,165.0.225.92,1535,0,Mobil Uygulama,69.64,0
fef7d9ea-7f8e,2026-04-15 02:38:43,USR-0218,164.54,Teknosa,Teknoloji,Antalya,Türkiye,8eb22579,15.250.235.116,22,1,Web Sitesi,221.17,1
f1fac6e7-170d,2026-04-20 20:56:54,USR-0058,473.29,PlayStation Store,Eğlence,Antalya,Türkiye,a013ac6e,61.67.68.75,1236,0,Mobil Uygulama,463.32,0
0c74dc0f-5a57,2026-04-17 13:56:31,USR-0229,288.89,Apple,Teknoloji,İstanbul,Türkiye,7c0e8cd8,95.172.88.188,287,0,Web Sitesi,339.24,0
ac2a4f71-a77d,2026-05-04 21:37:57,USR-0112,315.55,Migros,Market,İzmir,Türkiye,504867ba,16.66.253.65,428,0,Web Sitesi,470.62,0
43b47ee5-e1e8,2026-04-11 02:42:57,USR-0375,230.59,MediaMarkt,Teknoloji,Bursa,Türkiye,409d3602,188.231.117.23,1369,0,Hızlı QR,223.74,0
91fdfa4f-0d18,2026-04-23 15:49:14,USR-0212,11.64,Petrol Ofisi,Yakıt,Ankara,Türkiye,624c69b6,3.115.57.110,794,0,Mobil Uygulama,117.87,0
8116e3fc-62e7,2026-05-02 18:01:27,USR-0090,4755.32,Turkish Airlines,Ulaşım,İstanbul,Türkiye,dd2467ac,24.243.120.198,1774,0,API,249.41,0
18c01e2b-f99f,2026-05-05 13:23:22,USR-0269,250.51,BP,Yakıt,İzmir,Türkiye,f6b751f7,53.179.146.208,1812,0,API,203.15,0
24eeb4a6-c145,2026-05-02 23:23:38,USR-0243,33.56,Burger King,Gıda,İzmir,Türkiye,d5f25073,103.155.5.55,1253,0,Hızlı QR,125.51,0
2314d0c8-09f6,2026-04-30 04:06:20,USR-0030,455.62,Teknosa,Teknoloji,Adana,Türkiye,451b4cf3,191.40.233.127,1412,1,API,300.63,1
e4a4474c-9b33,2026-05-01 02:32:21,USR-0473,236.66,Hepsiburada,Alışveriş,Ankara,Türkiye,77e490c7,13.63.89.29,42,1,Mobil Uygulama,314.98,1
fd98fe33-6498,2026-05-05 15:44:56,USR-0021,461.14,Migros,Market,İzmir,Türkiye,a9488d99,147.38.167.201,1761,0,Web Sitesi,493.35,0
827c9f8c-d40a,2026-05-04 17:12:43,USR-0112,551.97,Trendyol,Alışveriş,Ankara,Türkiye,504867ba,12.203.241.49,428,0,Hızlı QR,470.62,0
54cc1e2a-5e4c,2026-04-28 22:45:45,USR-0493,130.11,Uber,Ulaşım,Bursa,Türkiye,b24cc64f,154.168.152.133,477,0,API,253.2,0
b9aed8e4-e615,2026-05-04 05:32:06,USR-0204,273.41,Yemeksepeti,Gıda,Antalya,Türkiye,a9f25336,208.218.75.34,335,1,Hızlı QR,250.66,1
a7d4cf50-f791,2026-05-04 20:55:22,USR-0255,334.27,Amazon,Alışveriş,Adana,Türkiye,53cd6268,183.72.8.187,1749,0,API,203.55,0
86341718-2ba6,2026-04-08 09:18:21,USR-0161,30.39,Amazon,Alışveriş,İzmir,Türkiye,ccc56569,152.85.9.217,1981,0,Web Sitesi,130.36,0
08150147-3e00,2026-04-13 01:38:38,USR-0300,433.48,Teknosa,Teknoloji,Ankara,Türkiye,30e912f2,135.8.135.58,1953,0,Hızlı QR,415.01,0
6b352f85-504e,2026-04-15 03:45:09,USR-0427,166.35,Getir Yemek,Gıda,Ankara,Türkiye,af34cf65,107.67.35.236,1620,0,Hızlı QR,140.36,0
eba742d2-9c89,2026-04-25 19:35:49,USR-0252,486.48,Trendyol,Alışveriş,İstanbul,Türkiye,a9ba5a27,17.254.53.83,1169,0,Hızlı QR,408.3,0
5336723b-8f96,2026-04-12 14:21:01,USR-0470,285.64,Apple,Teknoloji,İzmir,Türkiye,e9ff1cae,198.125.59.66,235,0,Mobil Uygulama,409.33,0
2c55aef7-f4e9,2026-05-01 09:41:52,USR-0025,219.53,Migros,Market,Ankara,Türkiye,29a3b2e9,26.244.87.201,1447,0,API,351.58,0
de1e994a-c5a1,2026-05-02 09:55:37,USR-0078,198.6,Spotify,Eğlence,Bursa,Türkiye,1064005c,184.117.167.172,280,0,API,146.41,0
3f1be0d0-f514,2026-05-05 12:15:48,USR-0316,6413.15,N11,Alışveriş,Adana,Türkiye,98c7472a,126.152.212.225,551,1,Web Sitesi,155.04,1
4c3077c4-fb75,2026-04-16 19:27:42,USR-0009,344.87,Teknosa,Teknoloji,Bursa,Türkiye,47378190,182.162.5.10,1667,0,Web Sitesi,315.17,0
